"('e', '\n', 't')",7312
"('e', '\n', 'a')",7301
"('o', 'p', 'p')",7295
"('p', 'p', 'a')",7289
"('s', 's', 'e')",7280
"('i', 'n', 'e')",7264
"('t', 'r', 'o')",7253
"('b', 'l', 'o')",7242
"('n', 'n', 'i')",7226
"('i', 's', 's')",7221
"('l', 'a', 't')",7203
"('a', 't', 'e')",7191
"('a', 'l', 'e')",7167
"('v', 'i', 's')",7163
"('\n', 'f', 'l')",7155
"('o', 'm', '\n')",7147
"('\n', 'd', 'i')",7137
"('\n', 'ö', 'f')",7136
"('n', '\n', 'p')",7134
"('o', 'r', 'm')",7122
"('\n', 'p', 'e')",7122
"('s', 'p', 'r')",7088
"('l', 'a', '\n')",7083
"('l', 'e', 't')",7076
"('g', 'l', 'a')",7059
"('n', 'o', 'r')",7017
"('\n', 'm', 'i')",7006
"('p', 'l', 'a')",6999
"('b', 'e', 's')",6997
"('d', 'n', 'i')",6978
"('f', 'r', 'a')",6972
"('d', 'a', 's')",6970
"('s', 'v', 'a')",6947
"('e', 's', 's')",6931
"('ä', 'r', 'd')",6900
"('e', '\n', 'h')",6899
"('g', 't', '\n')",6893
"('r', 't', 'e')",6886
"('d', 'a', 'g')",6878
"('r', 'e', 'd')",6851
"('h', 'a', 'l')",6850
"('n', '\n', 'v')",6837
"('n', '\n', 'g')",6803
"('ä', 'n', 'n')",6801
"('e', 'l', 'e')",6782
"('\n', 'u', 'n')",6777
"('a', 'l', 'i')",6776
"('\n', 'f', 'i')",6775
"('n', 'a', 'n')",6769
"('\n', 'p', 'o')",6758
"('k', 'o', 'l')",6725
"('r', 'ä', 't')",6678
"('a', 'l', 'a')",6662
"('a', 'g', 'a')",6627
"('m', 'a', 's')",6598
"('a', '\n', 'p')",6596
"('k', 'r', 'a')",6593
"('\n', 'b', 'i')",6593
"('i', 't', 'e')",6590
"('g', 'a', 'n')",6551
"('j', 'o', 'r')",6547
"('i', 'k', 'a')",6525
"('r', '\n', 't')",6468
"('e', 'l', '\n')",6464
"('h', 'e', 'r')",6450
"('l', 's', '\n')",6446
"('n', 't', 'i')",6428
"('p', 'a', 'n')",6415
"('o', 'r', 'g')",6413
"('\n', 't', 'o')",6411
"('e', 'n', 'e')",6389
"('\n', 's', 'j')",6386
"('\n', 'n', 'e')",6376
"('\n', 'o', 'm')",6371
"('n', '\n', 'r')",6364
"('i', 't', 't')",6362
"('v', 'e', 'n')",6348
"('r', 'a', 'f')",6335
"('r', '\n', 'h')",6310
"('i', 'd', 'e')",6307
"('\n', 'r', 'i')",6302
